iter	Passed	Remaining
0	0	387
1	0	331
2	0	306
3	1	294
4	1	285
5	1	279
6	1	277
7	2	273
8	2	271
9	2	268
10	2	266
11	3	265
12	3	264
13	3	263
14	3	261
15	4	261
16	4	260
17	4	259
18	5	258
19	5	257
20	5	257
21	5	256
22	6	256
23	6	255
24	6	254
25	6	253
26	7	253
27	7	253
28	7	252
29	7	251
30	8	251
31	8	251
32	8	251
33	8	250
34	9	250
35	9	249
36	9	249
37	9	249
38	10	248
39	10	248
40	10	248
41	10	247
42	11	255
43	11	254
44	11	254
45	12	253
46	12	253
47	12	252
48	12	252
49	13	251
50	13	251
51	13	250
52	14	250
53	14	249
54	14	249
55	14	249
56	15	248
57	15	248
58	15	247
59	15	247
60	16	247
61	16	246
62	16	246
63	16	245
64	17	245
65	17	245
66	17	244
67	17	242
68	17	242
69	18	241
70	18	241
71	18	241
72	18	240
73	19	240
74	19	239
75	19	239
76	19	239
77	20	238
78	20	238
79	20	237
80	20	237
81	21	237
82	21	236
83	21	236
84	21	235
85	22	234
86	22	233
87	22	233
88	22	232
89	22	232
90	23	232
91	23	232
92	23	231
93	24	231
94	24	231
95	24	230
96	24	230
97	25	230
98	25	230
99	25	229
100	25	229
101	25	228
102	26	228
103	26	227
104	26	227
105	26	227
106	27	226
107	27	226
108	27	226
109	27	226
110	28	225
111	28	225
112	28	225
113	28	224
114	29	224
115	29	223
116	29	224
117	29	223
118	30	223
119	30	222
120	30	222
121	30	222
122	31	221
123	31	221
124	31	221
125	31	220
126	32	220
127	32	219
128	32	219
129	32	219
130	33	219
131	33	218
132	33	218
133	33	218
134	34	218
135	34	218
136	34	217
137	34	217
138	35	217
139	35	216
140	35	216
141	35	216
142	36	216
143	36	215
144	36	215
145	36	215
146	37	215
147	37	214
148	37	214
149	37	214
150	38	214
151	38	214
152	38	213
153	38	213
154	39	213
155	39	213
156	39	212
157	39	212
158	40	212
159	40	212
160	40	211
161	40	211
162	41	211
163	41	211
164	41	211
165	41	210
166	42	210
167	42	210
168	42	210
169	43	210
170	43	209
171	43	209
172	43	209
173	44	209
174	44	209
175	44	208
176	44	208
177	45	208
178	45	208
179	45	207
180	45	207
181	46	206
182	46	206
183	46	206
184	46	206
185	47	206
186	47	205
187	47	205
188	47	205
189	49	211
190	50	212
191	50	213
192	51	213
193	51	213
194	51	212
195	51	212
196	52	212
197	52	212
198	52	211
199	52	211
200	53	211
201	53	211
202	53	211
203	54	210
204	54	210
205	54	210
206	54	210
207	55	209
208	55	209
209	55	209
210	55	209
211	56	208
212	56	209
213	56	208
214	57	208
215	57	208
216	57	208
217	57	207
218	58	207
219	58	207
220	58	206
221	58	206
222	59	206
223	59	206
224	59	205
225	60	205
226	60	205
227	60	205
228	60	204
229	61	205
230	62	208
231	63	209
232	64	210
233	64	211
234	65	211
235	65	211
236	65	211
237	65	210
238	66	210
239	66	210
240	66	209
241	66	209
242	67	209
243	67	209
244	67	208
245	68	208
246	68	208
247	68	208
248	68	207
249	69	207
250	69	207
251	69	207
252	70	206
253	70	206
254	70	206
255	70	205
256	71	205
257	71	205
258	71	205
259	71	204
260	72	204
261	72	204
262	72	203
263	73	203
264	73	203
265	73	203
266	73	202
267	74	202
268	74	202
269	74	201
270	74	201
271	75	201
272	75	201
273	75	200
274	76	200
275	76	200
276	76	199
277	76	199
278	77	199
279	77	199
280	77	198
281	77	198
282	78	198
283	78	197
284	78	197
285	79	197
286	79	197
287	79	196
288	79	196
289	80	196
290	80	195
291	80	195
292	80	195
293	81	195
294	81	194
295	81	194
296	82	194
297	82	193
298	82	193
299	82	193
300	83	192
301	83	192
302	83	192
303	83	192
304	84	191
305	84	191
306	84	191
307	85	191
308	85	190
309	85	190
310	85	190
311	86	189
312	86	189
313	86	189
314	86	188
315	87	188
316	87	188
317	87	188
318	87	187
319	88	187
320	88	187
321	88	186
322	89	186
323	89	186
324	89	186
325	89	185
326	90	185
327	90	185
328	90	184
329	90	184
330	91	184
331	91	184
332	91	183
333	92	183
334	92	183
335	92	183
336	92	182
337	93	182
338	93	182
339	93	181
340	93	181
341	94	181
342	94	181
343	94	180
344	95	180
345	95	180
346	95	179
347	95	179
348	97	181
349	98	182
350	98	182
351	99	182
352	99	182
353	100	182
354	100	183
355	101	183
356	101	183
357	102	183
358	103	184
359	103	184
360	104	184
361	104	184
362	105	184
363	105	185
364	106	185
365	107	185
366	107	185
367	108	185
368	108	185
369	109	186
370	109	186
371	110	186
372	111	186
373	111	186
374	112	187
375	112	187
376	113	187
377	113	187
378	114	187
379	115	187
380	115	188
381	116	188
382	116	188
383	117	188
384	118	188
385	118	189
386	119	189
387	119	189
388	120	189
389	121	189
390	121	189
391	122	189
392	122	189
393	123	189
394	124	189
395	124	190
396	125	190
397	125	190
398	126	190
399	127	190
400	127	190
401	128	190
402	128	190
403	129	190
404	129	190
405	130	190
406	131	190
407	131	191
408	132	191
409	132	191
410	133	191
411	133	191
412	134	191
413	135	191
414	135	191
415	136	191
416	136	191
417	137	191
418	137	191
419	138	191
420	138	191
421	139	191
422	140	191
423	141	192
424	141	191
425	142	191
426	142	191
427	142	190
428	142	190
429	143	189
430	143	189
431	143	189
432	144	188
433	144	188
434	144	187
435	144	187
436	145	187
437	145	186
438	145	186
439	146	185
440	146	185
441	146	185
442	146	184
443	147	184
444	147	183
445	147	183
446	148	183
447	148	182
448	148	182
449	148	181
450	149	181
451	149	181
452	149	180
453	149	180
454	150	180
455	150	179
456	150	179
457	151	178
458	151	178
459	151	178
460	151	177
461	152	177
462	152	176
463	152	176
464	153	176
465	153	175
466	153	175
467	153	175
468	154	174
469	154	174
470	154	173
471	155	173
472	155	173
473	155	172
474	155	172
475	156	171
476	156	171
477	156	171
478	157	170
479	157	170
480	157	170
481	157	169
482	158	169
483	158	168
484	158	168
485	159	168
486	159	167
487	159	167
488	159	167
489	160	166
490	160	166
491	160	165
492	160	165
493	161	165
494	161	164
495	161	164
496	162	163
497	162	163
498	162	163
499	162	162
500	163	162
501	163	162
502	163	161
503	163	161
504	164	160
505	164	160
506	164	160
507	165	159
508	165	159
509	165	159
510	165	158
511	166	158
512	166	157
513	166	157
514	166	157
515	167	156
516	167	156
517	167	156
518	167	155
519	168	155
520	168	154
521	168	154
522	169	154
523	169	153
524	169	153
525	169	153
526	170	152
527	170	152
528	170	151
529	170	151
530	171	151
531	171	150
532	171	150
533	172	150
534	172	149
535	172	149
536	172	149
537	173	148
538	173	148
539	173	147
540	173	147
541	174	147
542	174	146
543	174	146
544	175	146
545	175	145
546	175	145
547	175	145
548	176	144
549	176	144
550	176	144
551	177	143
552	177	143
553	177	142
554	177	142
555	178	142
556	178	141
557	178	141
558	178	141
559	179	140
560	179	140
561	179	140
562	180	139
563	180	139
564	180	139
565	181	138
566	181	138
567	181	138
568	181	137
569	182	137
570	182	137
571	182	136
572	183	136
573	183	136
574	183	135
575	183	135
576	184	135
